标准岗位,标准城市,技能,出现岗位数,岗位内出现率
数据开发工程师,西安,Java,11,40.7%
数据开发工程师,西安,数据仓库,11,40.7%
数据开发工程师,重庆,SQL,11,57.9%
机器学习工程师,北京,机器学习,11,68.8%
算法工程师,上海,R,11,1.6%
算法工程师,上海,scikit-learn,11,1.6%
算法工程师,上海,统计分析,11,1.6%
算法工程师,北京,Flask,11,2.0%
算法工程师,北京,Hive,11,2.0%
算法工程师,北京,R,11,2.0%
算法工程师,南京,Git,11,4.5%
算法工程师,广州,Pandas,11,3.3%
算法工程师,成都,Docker,11,4.3%
算法工程师,杭州,数据挖掘,11,3.1%
算法工程师,深圳,LangChain,11,1.7%
算法工程师,深圳,数据挖掘,11,1.7%
Python开发工程师,上海,SQL,10,15.2%
Python开发工程师,北京,PyTorch,10,10.9%
Python开发工程师,北京,TensorFlow,10,10.9%
Python开发工程师,广州,Flask,10,30.3%
Python开发工程师,成都,Redis,10,31.2%
Python开发工程师,杭州,Flask,10,40.0%
Python开发工程师,西安,SQL,10,22.2%
大数据开发工程师,北京,数据治理,10,18.9%
大数据开发工程师,北京,数据湖,10,18.9%
大数据开发工程师,广州,ETL,10,28.6%
大数据开发工程师,广州,Kafka,10,28.6%
大数据开发工程师,成都,Hadoop,10,71.4%
大数据开发工程师,成都,Java,10,71.4%
大数据开发工程师,深圳,MySQL,10,23.3%
大数据开发工程师,西安,ETL,10,33.3%
大数据开发工程师,西安,数据建模,10,33.3%
数据分析师,上海,NumPy,10,5.6%
数据分析师,上海,Spark,10,5.6%
数据分析师,北京,Oracle,10,5.6%
数据分析师,南京,统计分析,10,16.7%
数据分析师,广州,Pandas,10,7.1%
数据分析师,广州,统计分析,10,7.1%
数据分析师,武汉,Hadoop,10,15.2%
数据分析师,武汉,数据可视化,10,15.2%
数据分析师,深圳,Pandas,10,9.2%
数据开发工程师,上海,HBase,10,12.2%
数据开发工程师,南京,MySQL,10,28.6%
数据开发工程师,南京,Spark,10,28.6%
数据开发工程师,成都,Hadoop,10,34.5%
数据开发工程师,杭州,Java,10,28.6%
数据开发工程师,武汉,Spark,10,30.3%
数据开发工程师,西安,数据建模,10,37.0%
机器学习工程师,北京,PyTorch,10,62.5%
算法工程师,上海,LangChain,10,1.5%
算法工程师,广州,Docker,10,3.0%
算法工程师,广州,数据挖掘,10,3.0%
算法工程师,杭州,LangChain,10,2.8%
算法工程师,杭州,NumPy,10,2.8%
算法工程师,杭州,Pandas,10,2.8%
算法工程师,深圳,NumPy,10,1.5%
算法工程师,深圳,Pandas,10,1.5%
算法工程师,深圳,Prompt Engineering,10,1.5%
算法工程师,深圳,推荐算法,10,1.5%
算法工程师,西安,RAG,10,6.0%
算法工程师,西安,scikit-learn,10,6.0%
Python开发工程师,广州,大语言模型,9,27.3%
Python开发工程师,成都,FastAPI,9,28.1%
Python开发工程师,杭州,MySQL,9,36.0%
Python开发工程师,杭州,SQL,9,36.0%
Python开发工程师,深圳,MongoDB,9,10.6%
大数据开发工程师,上海,HBase,9,29.0%
大数据开发工程师,上海,Linux,9,29.0%
大数据开发工程师,北京,Docker,9,17.0%
大数据开发工程师,北京,Kubernetes,9,17.0%
大数据开发工程师,北京,Oracle,9,17.0%
大数据开发工程师,北京,Spark SQL,9,17.0%
大数据开发工程师,南京,HBase,9,47.4%
大数据开发工程师,南京,数据仓库,9,47.4%
大数据开发工程师,武汉,Linux,9,45.0%
大数据开发工程师,武汉,数据建模,9,45.0%
大数据开发工程师,深圳,Oracle,9,20.9%
大数据开发工程师,西安,HBase,9,30.0%
大数据开发工程师,西安,Linux,9,30.0%
大数据开发工程师,西安,SQL,9,30.0%
大数据开发工程师,西安,Scala,9,30.0%
数据分析师,上海,FineBI,9,5.0%
数据分析师,上海,Java,9,5.0%
数据分析师,上海,数据仓库,9,5.0%
数据分析师,北京,FineBI,9,5.0%
数据分析师,北京,NumPy,9,5.0%
数据分析师,广州,MySQL,9,6.4%
数据分析师,广州,NumPy,9,6.4%
数据分析师,广州,SPSS,9,6.4%
数据分析师,成都,Pandas,9,10.0%
数据分析师,武汉,Tableau,9,13.6%
数据分析师,武汉,数据建模,9,13.6%
数据分析师,武汉,机器学习,9,13.6%
数据分析师,深圳,Spark,9,8.3%
数据分析师,深圳,数据仓库,9,8.3%
数据分析师,深圳,数据治理,9,8.3%
数据分析师,深圳,统计分析,9,8.3%
数据分析师,重庆,R,9,23.1%
数据分析师,重庆,统计分析,9,23.1%
数据开发工程师,上海,ClickHouse,9,11.0%
数据开发工程师,上海,NumPy,9,11.0%
数据开发工程师,上海,Pandas,9,11.0%
数据开发工程师,上海,Tableau,9,11.0%
数据开发工程师,北京,数据治理,9,13.2%
数据开发工程师,南京,Hadoop,9,25.7%
数据开发工程师,南京,数据仓库,9,25.7%
数据开发工程师,广州,数据治理,9,22.0%
数据开发工程师,杭州,数据建模,9,25.7%
数据开发工程师,武汉,ETL,9,27.3%
数据开发工程师,武汉,Hive,9,27.3%
数据开发工程师,西安,ETL,9,33.3%
数据开发工程师,西安,Flink,9,33.3%
数据开发工程师,西安,MySQL,9,33.3%
数据开发工程师,西安,Spark,9,33.3%
数据开发工程师,重庆,Spark,9,47.4%
数据开发工程师,重庆,数据仓库,9,47.4%
机器学习工程师,深圳,机器学习,9,90.0%
算法工程师,北京,FastAPI,9,1.6%
算法工程师,南京,LangChain,9,3.7%
算法工程师,广州,LangChain,9,2.7%
算法工程师,广州,R,9,2.7%
算法工程师,成都,Git,9,3.5%
算法工程师,成都,R,9,3.5%
算法工程师,杭州,推荐算法,9,2.5%
算法工程师,武汉,Pandas,9,3.6%
