来源平台,标准城市,标准岗位,有效行数_去重前,有效行数_去重后,移除重复行数,技能覆盖率,薪资解析覆盖率,描述覆盖率
智联招聘,上海,算法工程师,98,90,8,91.1%,98.9%,100.0%
智联招聘,北京,BI分析师,4,4,0,100.0%,100.0%,100.0%
智联招聘,北京,Python开发工程师,75,71,4,95.8%,100.0%,100.0%
智联招聘,北京,大数据开发工程师,51,47,4,100.0%,97.9%,100.0%
智联招聘,北京,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
智联招聘,北京,数据分析师,96,90,6,93.3%,96.7%,100.0%
智联招聘,北京,数据开发工程师,49,48,1,100.0%,95.8%,100.0%
智联招聘,北京,机器学习工程师,13,12,1,100.0%,100.0%,100.0%
智联招聘,北京,算法工程师,97,90,7,92.2%,94.4%,100.0%
智联招聘,南京,Python开发工程师,19,16,3,100.0%,100.0%,100.0%
智联招聘,南京,大数据开发工程师,20,19,1,100.0%,89.5%,100.0%
智联招聘,南京,数据分析师,37,37,0,94.6%,100.0%,100.0%
智联招聘,南京,数据开发工程师,33,31,2,96.8%,100.0%,100.0%
智联招聘,南京,算法工程师,99,98,1,88.8%,98.0%,100.0%
智联招聘,广州,Python开发工程师,18,18,0,100.0%,100.0%,100.0%
智联招聘,广州,大数据开发工程师,21,21,0,100.0%,100.0%,100.0%
智联招聘,广州,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
智联招聘,广州,数据分析师,65,62,3,79.0%,98.4%,100.0%
智联招聘,广州,数据开发工程师,37,33,4,97.0%,100.0%,100.0%
智联招聘,广州,机器学习工程师,4,2,2,100.0%,100.0%,100.0%
智联招聘,广州,算法工程师,100,96,4,94.8%,97.9%,100.0%
智联招聘,成都,BI分析师,1,1,0,100.0%,100.0%,100.0%
智联招聘,成都,Python开发工程师,26,26,0,100.0%,100.0%,100.0%
智联招聘,成都,大数据开发工程师,12,11,1,90.9%,100.0%,100.0%
智联招聘,成都,数据仓库工程师,4,4,0,100.0%,100.0%,100.0%
智联招聘,成都,数据分析师,64,59,5,81.4%,100.0%,100.0%
智联招聘,成都,数据开发工程师,28,24,4,87.5%,95.8%,100.0%
智联招聘,成都,机器学习工程师,3,3,0,100.0%,100.0%,100.0%
智联招聘,成都,算法工程师,100,96,4,97.9%,99.0%,100.0%
智联招聘,杭州,Python开发工程师,16,16,0,100.0%,93.8%,100.0%
智联招聘,杭州,大数据开发工程师,7,7,0,100.0%,100.0%,100.0%
智联招聘,杭州,数据分析师,57,54,3,88.9%,100.0%,100.0%
智联招聘,杭州,数据开发工程师,24,23,1,95.7%,100.0%,100.0%
智联招聘,杭州,机器学习工程师,4,3,1,100.0%,100.0%,100.0%
智联招聘,杭州,算法工程师,94,91,3,91.2%,100.0%,100.0%
智联招聘,武汉,Python开发工程师,15,15,0,100.0%,100.0%,100.0%
智联招聘,武汉,大数据开发工程师,14,14,0,100.0%,100.0%,100.0%
智联招聘,武汉,数据分析师,39,39,0,76.9%,97.4%,100.0%
智联招聘,武汉,数据开发工程师,25,23,2,91.3%,100.0%,100.0%
智联招聘,武汉,机器学习工程师,6,3,3,100.0%,100.0%,100.0%
智联招聘,武汉,算法工程师,97,94,3,95.7%,98.9%,100.0%
智联招聘,深圳,Python开发工程师,54,53,1,98.1%,94.3%,100.0%
智联招聘,深圳,大数据开发工程师,30,28,2,100.0%,96.4%,100.0%
智联招聘,深圳,数据仓库工程师,2,2,0,100.0%,100.0%,100.0%
智联招聘,深圳,数据分析师,64,60,4,78.3%,95.0%,100.0%
智联招聘,深圳,数据开发工程师,45,37,8,97.3%,91.9%,100.0%
智联招聘,深圳,机器学习工程师,8,6,2,100.0%,100.0%,100.0%
智联招聘,深圳,算法工程师,97,94,3,92.6%,98.9%,100.0%
智联招聘,西安,Python开发工程师,32,32,0,100.0%,90.6%,100.0%
智联招聘,西安,大数据开发工程师,22,22,0,100.0%,100.0%,100.0%
智联招聘,西安,数据分析师,43,42,1,85.7%,97.6%,100.0%
智联招聘,西安,数据开发工程师,25,22,3,100.0%,100.0%,100.0%
智联招聘,西安,机器学习工程师,4,2,2,100.0%,100.0%,100.0%
智联招聘,西安,算法工程师,97,97,0,93.8%,99.0%,100.0%
智联招聘,重庆,Python开发工程师,6,6,0,100.0%,100.0%,100.0%
智联招聘,重庆,大数据开发工程师,7,7,0,100.0%,100.0%,100.0%
智联招聘,重庆,数据分析师,23,21,2,95.2%,100.0%,100.0%
智联招聘,重庆,数据开发工程师,20,17,3,82.4%,100.0%,100.0%
智联招聘,重庆,算法工程师,83,83,0,91.6%,100.0%,100.0%
