数据源,搜索岗位,搜索城市,城市编码,采集状态代码,采集状态说明,有效岗位数,API原始返回数,重复过滤数,标题不相关过滤数,官网报告总数,最后尝试页,最后成功页,停止原因,输出CSV,原始JSONL,运行日志
zhaopin,机器学习工程师,北京,530,success,采集完成,13,13,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,上海,538,success,采集完成,6,7,0,1,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,广州,763,success,采集完成,4,5,0,1,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,深圳,765,success,采集完成,8,12,0,4,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,杭州,653,success,采集完成,4,4,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,南京,635,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,武汉,736,success,采集完成,6,6,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,成都,801,success,采集完成,3,3,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,重庆,551,success,采集完成,1,1,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,机器学习工程师,西安,854,success,采集完成,4,4,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\机器学习工程师\机器学习工程师_西安_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,北京,530,success,采集完成,97,100,3,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,上海,538,success,采集完成,98,100,2,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,广州,763,success,采集完成,100,100,0,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,深圳,765,success,采集完成,97,100,3,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,杭州,653,success,采集完成,94,100,6,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,南京,635,success,采集完成,99,100,1,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,武汉,736,success,采集完成,97,98,1,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,成都,801,success,采集完成,100,100,0,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,重庆,551,success,采集完成,83,100,0,17,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,算法工程师,西安,854,success,采集完成,97,100,3,0,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\算法工程师\算法工程师_西安_20260629_085448_zhaopin_run_log.txt
